,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_ha_and_ga,0.8392857142857143,0.7437780401416766,0.667820259283674,0.6862673926194797
0,exclude_ha_and_ga,0.8392857142857143,0.7531876138433515,0.6696220610854757,0.6787559221893986
0,exclude_ha_and_ga,0.8571428571428571,0.869047619047619,0.8167897165458141,0.8248181635523407
0,exclude_ha_and_ga,0.8273809523809523,0.7551362114218481,0.7019116677653263,0.6881792717086834
0,exclude_ha_and_ga,0.8511904761904762,0.855945945945946,0.7126983080641617,0.7267172043642631
0,exclude_ha_and_ga,0.8333333333333334,0.8485119047619047,0.7067897165458141,0.7349725449395988
0,exclude_ha_and_ga,0.8511904761904762,0.6766666666666666,0.6126983080641617,0.638515406162465
0,exclude_ha_and_ga,0.8392857142857143,0.8509190263288623,0.7962623599208966,0.8061216942408562
0,exclude_ha_and_ga,0.8630952380952381,0.8686073957513768,0.8247440123049878,0.8310012210012211
0,exclude_ha_and_ga,0.8333333333333334,0.8112722646310433,0.7457591738079543,0.7463636363636363
