,experiment_type,test/acc,test/precision,test/recall,test/f1
0,convert_all_words_to_dummy,0.6785714285714286,0.6404907975460122,0.21463414634146344,0.1881307521421771
0,convert_all_words_to_dummy,0.6666666666666666,0.8323353293413174,0.22000000000000003,0.1960758665794637
0,convert_all_words_to_dummy,0.6607142857142857,0.6607142857142857,0.2,0.15913978494623654
0,convert_all_words_to_dummy,0.6845238095238095,0.4935805422647528,0.286152493957372,0.2593612482189106
0,convert_all_words_to_dummy,0.6607142857142857,0.6607142857142857,0.2,0.15913978494623654
0,convert_all_words_to_dummy,0.6607142857142857,0.6607142857142857,0.2,0.15913978494623654
0,convert_all_words_to_dummy,0.6726190476190477,0.6696969696969697,0.20975609756097563,0.1790513833992095
0,convert_all_words_to_dummy,0.6607142857142857,0.5096153846153846,0.212304987914744,0.1904883047134478
0,convert_all_words_to_dummy,0.6607142857142857,0.6607142857142857,0.2,0.15913978494623654
0,convert_all_words_to_dummy,0.6904761904761905,0.5905205905205905,0.27001538123489344,0.27926124619038
