,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_particle,0.8035714285714286,0.8249418604651163,0.5719116677653264,0.6035782482357824
0,exclude_particle,0.7976190476190477,0.8945697577276525,0.5280641617226983,0.603452243958573
0,exclude_particle,0.7440476190476191,0.6040695990944747,0.41903977147879584,0.37626978063952854
0,exclude_particle,0.7678571428571429,0.4902530779753762,0.3965062623599209,0.3923333333333333
0,exclude_particle,0.7857142857142857,0.7020089285714285,0.45626235992089653,0.4353813403802393
0,exclude_particle,0.7738095238095238,0.644211672752899,0.4075368050977807,0.39663382594417074
0,exclude_particle,0.7857142857142857,0.7420843045843046,0.47188749725335094,0.4948051123283322
0,exclude_particle,0.7678571428571429,0.5876681378730559,0.4177807075368051,0.4346811771919067
0,exclude_particle,0.7678571428571429,0.6852194470140817,0.3842012744451769,0.38551587301587303
0,exclude_particle,0.7738095238095238,0.7163124156545209,0.46546693034497916,0.4610515213837473
