,experiment_type,test/acc,test/precision,test/recall,test/f1
0,exclude_connectives,0.8273809523809523,0.6435916542473918,0.5947440123049879,0.5997785032119796
0,exclude_connectives,0.8273809523809523,0.7699296857833443,0.5345001098659635,0.5603418803418804
0,exclude_connectives,0.8154761904761905,0.640593849416755,0.617049000219732,0.549161124986724
0,exclude_connectives,0.8273809523809523,0.7493333333333334,0.5416677653263019,0.5248555216566675
0,exclude_connectives,0.7797619047619048,0.7521008403361344,0.3821555702043507,0.4241741477439418
0,exclude_connectives,0.8154761904761905,0.6457483930211203,0.5547440123049879,0.5365751107130418
0,exclude_connectives,0.8214285714285714,0.7551780874951606,0.5096220610854758,0.49372849372849376
0,exclude_connectives,0.7797619047619048,0.7521008403361344,0.3821555702043507,0.4241741477439418
0,exclude_connectives,0.8392857142857143,0.7104484657749803,0.7116677653263019,0.6735042735042736
0,exclude_connectives,0.8154761904761905,0.6024296296296298,0.6319116677653264,0.5635737232746206
